east|north|height|cat
131365.2285895|411601.41759542|-1.30183307|1
131463.88147618|411613.71302896|-1.32886311|1
131479.23069217|411521.8179666|-1.32151055|1
131490.83303071|411423.48099803|-1.31890084|1
131479.28123171|411344.51846879|-1.31038542|1
131397.25594785|411349.74260979|-1.29297331|1
131493.07411645|411339.17768313|-1.27404184|1
131571.40010173|411313.3962524|-1.26623476|1
131533.22476919|411242.44116662|-1.26145767|1
131435.14414626|411224.41816045|-1.2615725|1
131465.87595957|411202.68361272|-1.23057399|1
131560.25562897|411233.51671861|-1.21655453|1
131614.03215378|411159.31052116|-1.23766282|1
131630.50785509|411061.22020508|-1.23557721|1
131639.99621517|410962.01954011|-1.25944944|1
131650.0756219|410862.8249354|-1.26503046|1
131657.10645004|410763.44047204|-1.26286158|1
131665.1644607|410664.0939141|-1.27048676|1
131674.38337489|410564.84558656|-1.25989407|1
131681.39781596|410465.50003399|-1.25114803|1
131689.02054308|410366.27367625|-1.1984668|1
131626.43724618|410321.15092863|-0.80730686|1
131530.3435825|410296.91549778|-0.9517164|1
131566.89427931|410301.38891293|-0.92377791|1
131663.29970847|410325.94783966|-0.89685484|1
131696.84926057|410254.68872138|-0.94242959|1
131705.64360183|410155.50524031|-0.94812509|1
131744.67305861|410072.21901437|-0.96231329|1
131760.04015566|409975.1343473|-0.96923865|1
131783.10807149|409878.78571598|-1.01828057|1
131824.83327299|409788.91066316|-1.11953075|1
131770.80796369|409741.60669367|-0.8566553|1
131692.29513298|409792.0433699|-0.82367302|1
131613.88779256|409798.08693994|-0.73374428|1
131598.52310755|409715.51562325|-0.83824965|1
131565.98876565|409626.04817959|-0.86205429|1
131503.30237033|409572.57651323|-0.80846102|1
131505.78639903|409479.6958269|-0.86196027|1
131590.3621572|409434.78449233|-0.77437311|1
131688.13997822|409417.88527683|-0.73777318|1
131761.35765202|409361.35233931|-0.83134503|1
131778.36669915|409264.27737607|-0.76454792|1
131784.80007224|409165.17453162|-0.81174138|1
131812.52403988|409083.9509554|-0.82049237|1
131843.54509124|409002.35131566|-0.80925459|1
131848.10785057|408903.0396276|-0.74720869|1
131852.91404304|408803.64969079|-0.69222454|1
131856.66567031|408704.46030959|-0.75955625|1
131861.43120709|408605.48806385|-0.62485013|1
131867.65355404|408506.62310392|-0.62472092|1
131870.60472321|408417.49685545|-0.31985189|1
131875.86917442|408318.09017285|-0.28053922|1
131880.37774833|408219.37806406|-0.30344906|1
131884.55199616|408121.33276605|-0.53646737|1
131884.3755475|408022.69595296|-0.58645427|1
131871.82922686|407925.42593269|-0.57984234|1
131850.75652394|407829.56136241|-0.61044881|1
131837.29788339|407731.82480775|-0.3730777|1
131832.87879817|407633.44438054|-0.55736621|1
131832.17220655|407534.36361628|-0.61184502|1
131831.73282469|407435.68227103|-0.59464926|1
131818.82839463|407346.01998381|-0.54375994|1
131842.08322477|407253.78732029|-0.60059367|1
131858.09090495|407157.91762124|-0.62469691|1
131884.350761|407063.79675578|-0.62587868|1
131900.35124219|406967.16654866|-0.50198676|1
131923.75879502|406871.58228151|-0.45261185|1
131937.95140382|406774.23139272|-0.33960492|1
131953.23808381|406677.37868217|-0.49053178|1
131960.14959114|406579.69255069|-0.48456635|1
131968.32809826|406482.24937869|-0.29602597|1
132004.04732235|406390.49099342|-0.60794576|1
132050.96627218|406303.68179416|-0.6593965|1
132078.17574662|406209.04664701|-0.58550587|1
132105.19064974|406114.19049892|-0.58172705|1
132132.54042964|406019.08705082|-0.54726213|1
132160.05810802|405924.3485835|-0.56644234|1
132184.05088338|405828.42973455|-0.60538264|1
132217.15021699|405736.00834906|-0.56877748|1
132250.00631605|405642.78468895|-0.15027594|1
132283.26953397|405549.5426518|-0.19970489|1
132316.67596684|405455.73629968|0.00086236|1
132349.46466818|405362.59834794|0.27676388|1
132378.94193655|405267.94984806|0.38972586|1
132398.74578243|405171.29488366|0.31435511|1
132403.70629924|405072.29463358|0.32880411|1
132415.37422306|404973.91481357|0.25964073|1
132422.48085879|404874.96220781|0.50085143|1
132422.92027464|404776.17139519|0.66864811|1
132430.70712393|404677.34409968|0.75029316|1
132439.61195536|404579.07222861|0.63479659|1
132445.53692215|404481.47846806|0.5694219|1
132449.42406985|404383.69359654|0.64398152|1
132457.89031752|404285.24450768|0.00755845|1
132471.85863095|404187.39093565|0.18433751|1
132487.91800954|404089.67092389|0.23255275|1
132495.55029585|403992.9892498|0.17996131|1
132512.98976286|403913.14307979|2.52806643|1
132509.91501953|403818.50108374|0.89273211|1
132483.24419411|403722.84431489|0.59207019|1
132482.47667308|403624.88560188|0.47121475|1
132508.02394156|403533.50228541|0.26404636|1
132591.15349086|403485.03532928|0.25155885|1
132687.3558197|403466.07972773|0.27075943|1
132740.3062905|403388.26835718|0.17338481|1
132779.58870099|403298.44110141|0.20900705|1
132817.77178924|403207.55487628|0.04397442|1
132853.13032844|403115.65153213|-0.01134335|1
132887.54034509|403023.04967613|-0.13774876|1
132920.08029091|402930.11900932|-0.02314864|1
132951.94788258|402837.33204531|0.24668397|1
132977.19261499|402741.28820606|0.27760041|1
133001.54232299|402645.49509773|0.42360134|1
133022.33852523|402548.96856253|0.34770779|1
133039.79294407|402451.35438908|0.39233703|1
133052.00470467|402352.84584692|0.16838226|1
133060.30538527|402253.91463125|0.17829858|1
133063.35708662|402154.78588575|0.21569598|1
133056.85998511|402056.66779041|0.41362042|1
133045.03312422|401958.51963014|0.327394|1
133037.88672733|401859.76851864|0.62425866|1
133032.8219129|401760.80383607|0.61325011|1
133031.27723947|401662.212828|0.61817188|1
133029.96120752|401563.96385841|0.23160114|1
133027.31149685|401466.9949535|1.03675822|1
133025.18212638|401368.97525458|1.0222935|1
133020.95117621|401270.52509539|0.83788761|1
133016.28791461|401171.66485763|0.74577773|1
133011.86474484|401072.53157835|0.75291708|1
132930.13996028|401075.38210743|0.43030589|1
132844.86960856|401078.71020682|0.62895034|1
132781.69966808|401036.6651993|1.65624811|1
132774.81104371|400949.22888137|2.36077428|1
132804.38766372|400855.43021339|2.18869642|1
132827.4587387|400759.69051282|2.02711535|1
132827.71071584|400661.16349114|2.07141539|1
132820.93327228|400562.55103047|1.97877647|1
132824.20589793|400465.757804|0.71480329|1
132821.48047027|400369.56475752|0.96408334|1
132819.05747929|400271.69943511|0.86094279|1
132746.621969|400209.87981391|0.93264747|1
132693.82817354|400131.40261548|0.86082671|1
132704.35209512|400038.06538127|0.45903158|1
132780.25743748|399991.48482993|1.04566816|1
132769.96929061|399895.39385649|0.98755968|1
132751.92162571|399798.17422546|1.02198368|1
132736.99632054|399700.99377023|1.24475489|1
132719.00897694|399605.41467084|0.98328793|1
132703.05524448|399508.26317869|1.81257999|1
132694.91987755|399418.27827441|0.36372992|1
132662.09985253|399348.58344143|1.52320134|1
132644.45530722|399255.46546768|1.14052166|1
132630.96519546|399158.97341416|1.70842938|1
132624.35639949|399063.49677506|1.7818291|1
132607.19056901|398968.24469614|0.95187993|1
132591.6743587|398873.46581341|0.97720008|1
132568.72842266|398795.53558436|0.27322343|1
